plot_id,ibutton_id,doy,date,time,am_pm,unit,value
756,B500000039860521,035,2-4-16,3:29:00,AM,C,1
756,B500000039860521,035,2-4-16,5:29:00,AM,C,0
756,B500000039860521,035,2-4-16,7:29:00,AM,C,-0.5
756,B500000039860521,035,2-4-16,9:29:00,AM,C,7
756,B500000039860521,035,2-4-16,11:29:00,AM,C,16
756,B500000039860521,035,2-4-16,1:29:00,PM,C,15.5
756,B500000039860521,035,2-4-16,3:29:00,PM,C,16
756,B500000039860521,035,2-4-16,5:29:00,PM,C,16
756,B500000039860521,035,2-4-16,7:29:00,PM,C,10.5
756,B500000039860521,035,2-4-16,9:29:00,PM,C,6.5
756,B500000039860521,035,2-4-16,11:29:00,PM,C,4.5
756,B500000039860521,036,2-5-16,1:29:00,AM,C,3
756,B500000039860521,036,2-5-16,3:29:00,AM,C,2
756,B500000039860521,036,2-5-16,5:29:00,AM,C,1
756,B500000039860521,036,2-5-16,7:29:00,AM,C,0.5
756,B500000039860521,036,2-5-16,9:29:00,AM,C,10
756,B500000039860521,036,2-5-16,11:29:00,AM,C,20.5
756,B500000039860521,036,2-5-16,1:29:00,PM,C,19
756,B500000039860521,036,2-5-16,3:29:00,PM,C,19.5
756,B500000039860521,036,2-5-16,5:29:00,PM,C,18
756,B500000039860521,036,2-5-16,7:29:00,PM,C,13.5
756,B500000039860521,036,2-5-16,9:29:00,PM,C,16.5
756,B500000039860521,036,2-5-16,11:29:00,PM,C,19
756,B500000039860521,037,2-6-16,1:29:00,AM,C,19.5
756,B500000039860521,037,2-6-16,3:29:00,AM,C,19.5
756,B500000039860521,037,2-6-16,5:29:00,AM,C,20
756,B500000039860521,037,2-6-16,7:29:00,AM,C,14
756,B500000039860521,037,2-6-16,9:29:00,AM,C,15.5
756,B500000039860521,037,2-6-16,11:29:00,AM,C,24
756,B500000039860521,037,2-6-16,1:29:00,PM,C,25
756,B500000039860521,037,2-6-16,3:29:00,PM,C,25
756,B500000039860521,037,2-6-16,5:29:00,PM,C,13.5
756,B500000039860521,037,2-6-16,7:29:00,PM,C,8.5
756,B500000039860521,037,2-6-16,9:29:00,PM,C,7.5
756,B500000039860521,037,2-6-16,11:29:00,PM,C,5.5
